eventID,Agency,Identifier,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude
1000210,EHB,9208836,1964,9,30,4,39,46.35,,23.207,34.462,122,71,28,42.7,11,4.83,0.3
1000211,ISC,1882357,1964,9,30,10,27,9,1.2,20.2,37.4,50,22.05,0,33,,4.01,0.3
1000212,ISC,1879680,1964,10,3,3,57,27,1,23.1,34.2,27.8,21.12,0,25,42,4.28,0.3
1000213,ISC,1879753,1964,10,4,22,56,59.5,0.37,20.67,37.78,9.9,7.5,0,49,10,4.01,0.3
1000214,ISC,1879755,1964,10,5,1,23,50.6,0.53,19.7,40.15,8.484,8.4,90,25,19,3.87,0.3
1000215,EHB,9208858,1964,10,6,14,29,59.96,,28.153,40.186,56,40,23,28.1,6.8,5.66,0.3
1000216,ISC-GEM,863310,1964,10,6,14,31,26.149999,,28.177,40.159,4.8,3.5,33.2,27.4,3.9,6.8,0.3
1000217,ISC,1879901,1964,10,7,23,7,53.899999,0.52,28.36,40.19,7.883,8.9,90,31,26,4.28,0.3
1000218,ISC,1879955,1964,10,9,11,59,2.6,0.87,24.6,34.7,27.38,14.4,90,9,75,4.28,0.3
1000219,ISC,1880092,1964,10,12,14,16,29.199999,0.52,28.6,35.2,12.7,12.2,90,43,17,4.14,0.3
1000220,ISC,1880116,1964,10,13,10,30,9.199999,0.33,28.29,36.94,8,5.147,0,76,5.6,4.42,0.3
1000221,EHB,9208907,1964,10,17,9,50,28.3,,25.38,34.964,107,71,37,12,,4.83,0.3
1000222,ISC,1880413,1964,10,17,13,29,35.399999,0.75,22,38.2,76.6,32.28,0,0,,4.14,0.3
1000223,ISC,1878420,1964,11,5,20,55,45.799999,0.34,24.13,35.11,8.622,6.3,90,27,20,4.56,0.3
1000224,ISC,1879091,1964,11,20,6,59,18.699999,0.4,28.06,40.2,17.8,7.63,0,56,10,4.28,0.3
1000225,ISC,1879408,1964,11,26,0,59,3.7,0.45,25.4,34.4,10.99,8.9,90,51,15,5.25,0.3
1000226,ISC,1876739,1964,12,1,10,21,3.299999,0.29,22.45,38.53,8.597,7.4,90,48,8.5,4.42,0.3
1000227,ISC,1877054,1964,12,9,18,28,46,0.37,20.92,41.57,6.973,8.8,90,78,10,4.14,0.3
1000228,ISC,1877062,1964,12,9,19,6,21.399999,0.35,20.92,41.2,6.93,6.1,90,55,7.9,4.28,0.3
1000229,ISC,1877193,1964,12,12,13,11,48.799999,0.67,22.6,34.9,18.21,13.3,90,47,25,4.28,0.3
1000230,ISC,1877349,1964,12,15,2,51,34.2,0.42,26.06,34.87,8.106,6.2,90,28,25,4.28,0.3
1000231,ISC,1877377,1964,12,15,8,20,44,1.9,20.9,40.5,36.29,36.6,90,33,,4.14,0.3
1000232,ISC,1877418,1964,12,15,21,3,15.699999,0.33,28.79,40.02,5.522,5.5,90,26,15,4.7,0.3
1000233,ISC,1877562,1964,12,18,7,52,45,1.9,28.7,35.6,54.15,24.4,90,74,42,3.73,0.3
1000234,ISC,1877679,1964,12,21,0,50,10,,27.5,40.5,,,,0,,4.56,0.3
1000235,ISC,1877830,1964,12,23,21,3,3.5,0.04,20.77,41.09,0.656,0.5,90,40,1.4,3.87,0.3
1000236,EHB,9209170,1964,12,31,16,18,4.12,,25.516,35.826,65,44,26,88.7,5.2,4.97,0.3
1000237,EHB,9209190,1965,1,7,10,22,19.839999,,26.844,36.531,97,67,33,43.2,9.1,5.11,0.3
1000238,ISC,1875618,1965,1,9,4,11,51,1.2,27.4,36,22.45,23.3,90,63,38,4.28,0.3
1000239,ISC,1875694,1965,1,10,8,2,51.7,0.87,22,38.7,15.59,17.8,90,46,20,4.28,0.3
1000240,ISC,1875871,1965,1,12,17,26,1.6,0.49,21.7,37.19,15.92,9.4,90,23,36,3.87,0.3
1000241,ISC,1876012,1965,1,15,14,56,40.1,0.36,21.8,36.97,7.542,7.9,90,56,8.1,4.14,0.3
